item_id,short_title,title,year,period,google_scholar_link,vegetated_strip_description,nation,study_country,study_location,latitute,longitude,studydesign_observational,studydesign_manipulative,Study length (years),Time since intervention (years),spatialscale_plot,spatialscale_field,spatialscale_farm,spatialscale_catchment,spatialscale_regional,spatialscale_notdescribed,measurementquarter_Q1,measurementquarter_Q2,measurementquarter_Q3,measurementquarter_Q4,measurementquarter_notdescribed,farmingsystem_conventional,farmingsystem_organic,farmingsystem_notdescribed,farmingproductionsystem_livestock,farmingproductionsystem_livestockinfo,farmingproductionsystem_croppedfields,farmingproductionsystem_croppedfieldsinfo,farmingproductionsystem_horticulture,farmingproductionsystem_horticultureinfo,farmingproductionsystem_viticulture,farmingproductionsystem_viticultureinfo,farmingproductionsystem_fruit,farmingproductionsystem_fruitinfo,farmingproductionsystem_grassland,farmingproductionsystem_grasslandinfo,farmingproductionsystem_other,farmingproductionsystem_otherinfo,farmingproductionsystem_notdescribed,farmingproductionsystem_notdescribedinfo,vegetationtype_grasses,vegetationtype_grassesinfo,vegetationtype_wildflowers,vegetationtype_wildflowersinfo,vegetationtype_shrubs,vegetationtype_shrubsinfo,vegetationtype_hedgerow,vegetationtype_hedgerowinfo,vegetationtype_trees,vegetationtype_treesinfo,vegetationtype_other,vegetationtype_otherinfo,vegetationtype_notdescribed,vegetationtype_notdescribedinfo,striplocation_withinfield,striplocation_fieldedge,striplocation_riparian,striplocation_notdescribed,stripmanagement_unmanaged,stripmanagement_unmanagedinfo,stripmanagement_soilamendment,stripmanagement_soilamendmentinfo,stripmanagement_soildisturbed,stripmanagement_soildisturbedinfo,stripmanagement_cut,stripmanagement_cutinfo,stripmanagement_grazed,stripmanagement_grazedinfo,stripmanagement_harvested,stripmanagement_harvestedinfo,stripmanagement_sownplanted,stripmanagement_sownplantedinfo,stripmanagement_pesticide,stripmanagement_pesticideinfo,stripmanagement_managedother,stripmanagement_managedotherinfo,stripmanagement_notdescribed,stripmanagement_notdescribedinfo
21569002,Liu (2012),"Impact of different contour hedgerows on control of nutrient, soil and water loss on slope land in Danjiangkou Reservoir Region",2012,2010-2014,"http://scholar.google.co.uk/scholar?q=Impact+of+different+contour+hedgerows+on+control+of+nutrient,+soil+and+water+loss+on+slope+land+in+D&btnG=&hl=en&as_sdt=0%2C5",Contour hedgerow,China,China,"Xiaofuling (3245_31_N 11109_27_E), Danjiangkou County, Hubei Province",32.75,111.15,,Manipulative,Not stated,Not stated,Plot scale,,,,,,,,,,Not described,,,Not described,,,Cropped fields (arable),"winter wheat, summer maize",,,,,,,,,,,,,,,,,,,Hedgerow,Amorpha fruticosa L.; Lonicera japonica Thunb.; Hemerocallis citrina Baroni; and Juncus effuses,,,,,,,Within field,Field edge,,,,,,,,,Cut,twice a year,,,,,,,,,,,,
21569003,Lizotte (2014),Influence of integrated watershed-scale agricultural conservation practices on lake water quality,2014,2010-2014,http://scholar.google.co.uk/scholar?q=Influence+of+integrated+watershed-scale+agricultural+conservation+practices+on+lake+water+quality&btnG=&hl=en&as_sdt=0%2C5,Vegetative filter strip,USA,"Mississippi, USA","Beasley Lake, Sunflower County, latitude 3324_15_ N, longitude 9040_05_ W",33.398319,-90.676415,Observational,,14,14,,,,Catchment scale,,,Q1,Q2,Q3,Q4,,,,Not described,,,Cropped fields (arable),"Cooton, soybean, corn, milo",,,,,,,,,,,,,Grasses,Switchgrass; fescue; bahia grass,,,,,,,,,,,Not described,"""quail habitat buffer""",,,Riparian,,,,,,,,,,,,,,,,,,,,Not described,
21569008,Long (2015),"Impacts of riparian buffer vegetation on soil quality physical parameters, 20-23 years after initial riparian buffer establishment",2015,2015-2016,"http://scholar.google.co.uk/scholar?q=Impacts+of+riparian+buffer+vegetation+on+soil+quality+physical+parameters,+20-23+years+after+initial&btnG=&hl=en&as_sdt=0%2C5",Riparian buffer,USA,"Iowa, USA",Bear creek watershed,42.182677,-93.501316,Observational,,2,20,,,,Catchment scale,,,,Q2,Q3,Q4,,,,Not described,,,Cropped fields (arable),,,,,,,,,,,,,,Grasses,"Cool season grass filter (smooth brome, reed canarygrass, and Kentucky bluegrass); switchgrass filter (heavily invaded by smooth brome ",,,,,,,Trees,hybrid poplar riparian forest buffer,,,,,,,Riparian,,,,,,,,,,,,,,,,,,,,Not described,
21569019,Lowrance (1997),Herbicide transport in a managed riparian forest buffer system,1997,1995-1999,http://scholar.google.co.uk/scholar?q=Herbicide+transport+in+a+managed+riparian+forest+buffer+system&btnG=&hl=en&as_sdt=0%2C5,Riparian forest buffer,USA,"Georgia, USA","Gibbs Farm, University of Georgia Coastla Plain Experiment Station, Tifton",31.450464,-83.508498,Observational,,2,2,Plot scale,,,,,,Q1,Q2,Q3,Q4,,Conventional,,,,,Cropped fields (arable),Corn,,,,,,,,,,,,,Grasses,"""Zone 3 is a grass filter strip, Zone 2 is an area of managed forest where trees can be harvested, and Zone 1 is an area of permanenet woody vegetation which includes the stream channel system""",,,,,,,Trees,"""Zone 3 is a grass filter strip, Zone 2 is an area of managed forest where trees can be harvested, and Zone 1 is an area of permanenet woody vegetation which includes the stream channel system""",,,,,,,Riparian,,,,,,,,,,,,Harvested,Wood harvested from central zone,Sown/planted,,,,,,,
21569023,Ludwig (2012),Landscape-moderated bird nest predation in hedges and forest edges,2012,2010-2014,http://scholar.google.co.uk/scholar?q=Landscape-moderated+bird+nest+predation+in+hedges+and+forest+edges&btnG=&hl=en&as_sdt=0%2C5,Hedge,Germany,Germany,"Göttingen (51.5N, 9.9E), southern lower Saxony",51.083333,9.15,Observational,,<1,Not stated,,Field scale,,,,,,Q2,Q3,,,,,Not described,,,Cropped fields (arable),,,,,,,,Grassland,,,,,,,,,,,,Hedgerow,"Predominantly blackthorn, hawthorn and rose",,,,,,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,
21569025,Ludy (2004),How to catch foliage-dwelling spiders (Araneae) in maize fields and their margins: a comparison of two sampling methods,2004,2000-2004,http://scholar.google.co.uk/scholar?q=How+to+catch+foliage-dwelling+spiders+(Araneae)+in+maize+fields+and+their+margins:+a+comparison+of+t&btnG=&hl=en&as_sdt=0%2C5,Margin strip,Germany,Germany,"Bavarian State Research Center for Agriculture located in Swabia, Frankonia and Upper Bavaria",50.850273,9.066284,,Manipulative,<1,Not stated,,,Farm scale,,,,,,Q3,,,Conventional,,,,,Cropped fields (arable),Maize,,,,,,,,,,,,,,,,,,,,,,,Other (please specify),stinging-nettles and various others herbs,,,,Field edge,,,,,,,,,,,,,,,Sown/planted,,Pesticide,Herbicide applied once in May,,,,
21569031,Lütz (2002),Implementation of landscape planning and nature conservation in the agricultural landscape - A case study from saxony,2002,2000-2004,http://scholar.google.co.uk/scholar?q=Implementation+of+landscape+planning+and+nature+conservation+in+the+agricultural+landscape+-+A+case+&btnG=&hl=en&as_sdt=0%2C5,"Buffer zone, field margin",Germany,Germany,"Promnitztal, Saxony",51.10454,13.201739,Observational,,3,Not stated,,,,,Regional scale,,,,,,Not described,,,Not described,,,Cropped fields (arable),,,,,,,,Grassland,,,,,,,,,,,,,,,,,,Not described,,,Field edge,Riparian,,,,,,,,,,,,,,,,,,,,Not described,
21569033,Lyngby (1981),THE SPATIAL DISTRIBUTION OF CARABIDS COLEOPTERA CARABIDAE IN RELATION TO A SHELTERBELT,1981,1980-1984,http://scholar.google.co.uk/scholar?q=THE+SPATIAL+DISTRIBUTION+OF+CARABIDS+COLEOPTERA+CARABIDAE+IN+RELATION+TO+A+SHELTERBELT&btnG=&hl=en&as_sdt=0%2C5,Shelterbelt,Denmark,Denmark,"Lyngbygaard, 8km west of Aarhus",56.163572,10.023754,Observational,,<1,Not stated,,Field scale,,,,,,Q2,Q3,,,,,Not described,,,Cropped fields (arable),,,,,,,,,,,,,,,,,,,,,,Trees,,,,,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,
21569034,Lynn (2007),Field Margin Weed-Species Diversity in Relation to Landscape Attributes and Adjacent Land Use,2007,2005-2009,http://scholar.google.co.uk/scholar?q=Field+Margin+Weed-Species+Diversity+in+Relation+to+Landscape+Attributes+and+Adjacent+Land+Use&btnG=&hl=en&as_sdt=0%2C5,Field margin,USA,"Wisconsin, USA","Wisconsin counties: Adams, Dane, Fond du Lac, Grant, Trempeleau, and Walworth",43.250547,-89.501509,Observational,,Not stated,Not stated,,,,,Regional scale,,,,,,Not described,,,Not described,,,,,,,,,,,,,,,Not described,,Grasses,Buffer strip (perennial and annual grass),,,Shrubs,"woody shrubs, annual and perennial broadleaves, understory of brush",,,Trees,Forest boundary ,,,,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,
21569036,Ma (2008),Multi-scale responses of plant species diversity in semi-natural buffer strips to agricultural landscapes,2008,2005-2009,http://scholar.google.co.uk/scholar?q=Multi-scale+responses+of+plant+species+diversity+in+semi-natural+buffer+strips+to+agricultural+lands&btnG=&hl=en&as_sdt=0%2C5,Buffer strip,Finland,Finland,"Lepsämä River watershed, Nurmijärvi, Southern Finland.(60 23' - 60 28'N, 24 31'- 24 43'E). ",60.346167,24.721716,Observational,,<1,Not stated,,,,Catchment scale,,,,Q2,Q3,,,Conventional,,,,,Cropped fields (arable),small grain cereals and vegetables,,,,,,,,,,,,,Grasses,"Elymus repens, Alopecurus pratensis, Phleum pratense, Festuca pratensis, Aegopodium podagraria, Cirsium arvense, Anthriscus sylvestris, Phalaris arundinacea",,,,,,,,,Other (please specify),"Artemisia vulgaris, and Taraxacum spec",,,,,Riparian,,,,,,,,,,,,,,,,,,,,Not described,
21569048,Macleod (2004),Habitat associations and breeding success of the Chaffinch Fringilla coelebs,2004,2000-2004,http://scholar.google.co.uk/scholar?q=Habitat+associations+and+breeding+success+of+the+Chaffinch+Fringilla+coelebs&btnG=&hl=en&as_sdt=0%2C5,Boundary,UK,UK,"Angus (Memus 5640_N, 250_W; 208 ha) and Fife, (Gilston; 5620_N, 3W; 196 ha),",56.684466,-2.970135,Observational,,3,Not stated,,,Farm scale,,,,,Q2,,,,Conventional,,,Livestock,pasture,Cropped fields (arable),"spring and winter barley, winter wheat, winter oats, oilseed rape, potatoes",,,,,,,Grassland," silage, grass ley",,,,,,,,,,,Hedgerow,,Trees,tree-line or wood-edge,Other (please specify),"field margin (grassy, herbaceous strip)",,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,
21569054,Maisonneuve (2001),Importance of riparian habitats for small mammal and herpetofaunal communities in agricultural landscapes of southern Quebec,2001,2000-2004,http://scholar.google.co.uk/scholar?q=Importance+of+riparian+habitats+for+small+mammal+and+herpetofaunal+communities+in+agricultural+lands&btnG=&hl=en&as_sdt=0%2C5,Riparian strip,Canada,"Québec, Canada","Boyer River watershed, St. Lawrence River near Québec City",46.807325,-71.210716,Observational,,2,Not stated,,,,Catchment scale,,,,,Q3,,,,,Not described,,,Cropped fields (arable),cereal,,,,,,,Grassland,hay,,,,,Grasses,"Phalaris arundinacea, Bromus inermis, and Calamagrostis canadensis, Impatiens capensis,",,,Shrubs,"shrubby riparian strips (dominated by Prunus virginiana, Spirea latifolia, Rubus idaeus, Alnus rugosa, Crataegus spp., and Cornus stolonifera.)",,,Trees,"most abundant species are Acer negundo, Salix spp., Fraxinus spp., Acer saccharum, P. virginiana, and Populus tremuloides",Other (please specify),"Eupatorium maculatum, Prunella vulgaris, and Fragaria virginiana",,,,,Riparian,,,,,,,,,,,,,,,,,,,,Not described,
21569056,Makulec (2004),"Lumbricidae communities in several years old midfield shelterbelt (Turew region, Western Poland)",2004,2000-2004,"http://scholar.google.co.uk/scholar?q=Lumbricidae+communities+in+several+years+old+midfield+shelterbelt+(Turew+region,+Western+Poland)&btnG=&hl=en&as_sdt=0%2C5",Shelterbelt,Poland,Poland,"Turew, western Poland",52.058832,16.826234,,Manipulative,2,7,Plot scale,,,,,,,Q2,Q3,Q4,,Conventional,,,,,Cropped fields (arable),,,,,,,,,,,,,,,,,,,,,,Trees,,,,,,Within field,,,,,,,,,,,,,,,,Sown/planted,,,,,,,
21569058,Mander (1997),Efficiency and dimensioning of riparian buffer zones in agricultural catchments,1997,1995-1999,http://scholar.google.co.uk/scholar?q=Efficiency+and+dimensioning+of+riparian+buffer+zones+in+agricultural+catchments&btnG=&hl=en&as_sdt=0%2C5,Buffer zone,Estonia,Estonia,"Proijogi River and Viiratsi, Viljandi County",58.356708,25.625304,Observational,,Not stated,14,,Field scale,,,,,,,,,Not described,,,Not described,Livestock,Pigs,,,,,,,,,,,,,,,,,,,,,,,Trees,Grey alder,,,,,,,Riparian,,,,,,,,,,,,,,,,,,,,Not described,
21569060,Mander (2008),Gaseous nitrogen and carbon fluxes in riparian alder stands,2008,2005-2009,http://scholar.google.co.uk/scholar?q=Gaseous+nitrogen+and+carbon+fluxes+in+riparian+alder+stands&btnG=&hl=en&as_sdt=0%2C5,Riparian buffer,Multiple,"Estonia, Germany","Tartu county, Sirvaku, Estonia 58 13N; 26 47E; Muncheberg, Brandenburg state, Germany , 52 50N; 14 14E",multiple,multiple,Observational,,4,Not stated,,,,Catchment scale,,,Q1,Q2,Q3,Q4,,,,Not described,,,,,,,,,,,Grassland,,Other (please specify),abandoned field,,,,,,,,,,,Trees,grey alder,,,,,,,Riparian,,,,,,,,,,,,,,,,,,,,Not described,
21569062,Mander (1999),Nutrient transformation in riparian buffer zones: modelling approach,1999,1995-1999,http://scholar.google.co.uk/scholar?q=Nutrient+transformation+in+riparian+buffer+zones:+modelling+approach&btnG=&hl=en&as_sdt=0%2C5,Buffer zone,Estonia,Estonia,"Viiratsi pig farm, Viljandi County and Porijogi River",58.356708,25.625304,Observational,,1,Not stated,,Field scale,,,,,Q1,Q2,Q3,Q4,,,,Not described,,,Cropped fields (arable),,,,,,,,Grassland,,,,,,,,,,,,,,,,Other (please specify),"""abandoned (formerly cultivated) grassland (serves as source community) - buffer 1: wet meadow (dominating by Filipendula ulmaria, Aegopodium podagraria, Cirsium oleraceum, and Urtica dioica), llm- buffer 2: grey alder stand (14 yr), 20 m"" ""arable land (fertilised by pig slurry; serves as source community) - buffer 1: eutrophic grassland strip (Elytrigia repens, Urtica dioica) with a young grey alder stand, buffer 2: 11 m - wet meadow pattern (Filipendula ulmaria), 12 m - buffer 3: grey alder forest (40 yr), 28 m""",,,,,Riparian,,,,,,,,,,,,,,Sown/planted,,,,,,,
21569067,Mander (2014),Isotopologue ratios of N2O and N2 measurements underpin the importance of denitrification in differently N-loaded riparian alder forests,2014,2010-2014,http://scholar.google.co.uk/scholar?q=Isotopologue+ratios+of+N2O+and+N2+measurements+underpin+the+importance+of+denitrification+in+differe&btnG=&hl=en&as_sdt=0%2C5,Riparian forest,Estonia,Estonia,"Porijõgi (5812_41_N, 2646_55_E), Viiratsi (5820_N, 2539_20_E),",58.356708,25.625304,Observational,,<1,Various,,,,,Regional scale,,,Q2,Q3,Q4,,,,Not described,,,Cropped fields (arable),,,,,,,,Grassland,abandoned pasture,,,,,,,,,,,,,Trees,Grey alder ,Other (please specify),Filipendula ulmaria,,,,,Riparian,,,,,,,,,,,,,,,,,,,,Not described,
21569075,Mankin (2007),"GRASS-SHRUB RIPARIAN BUFFER REMOVAL OF SEDIMENT, PHOSPHORUS, AND NITROGEN FROM SIMULATED RUNOFF",2007,2005-2009,"http://scholar.google.co.uk/scholar?q=GRASS-SHRUB+RIPARIAN+BUFFER+REMOVAL+OF+SEDIMENT,+PHOSPHORUS,+AND+NITROGEN+FROM+SIMULATED+RUNOFF&btnG=&hl=en&as_sdt=0%2C5","Riparian buffer, vegetative filter strip",USA,"Kansas, USA","A tributary of the West Branch Mill Creek in the Flint Hills, Geary County,",38.998468,-96.792236,Observational,,<1,7,,,,Catchment scale,,,,,Q3,Q4,,,,Not described,,,,,,,,,,,,,,,Not described,,Grasses,"Cool season grasses, downy brome, Natural warm season perennial grasses",,,,,,,Trees,American plum,,,,,,,Riparian,,,,,,,,,,,,,,Sown/planted,,,,,,,
21569082,Marcus (2000),The effects of farm field borders on overwintering sparrow densities,2000,2000-2004,http://scholar.google.co.uk/scholar?q=The+effects+of+farm+field+borders+on+overwintering+sparrow+densities&btnG=&hl=en&as_sdt=0%2C5,Field border,USA,"North Carolina, USA","Wilson County (77 53' W, 35 42' N), Hyde County (76 05' W, 35 25' N)",35.700303,-77.882317,,Manipulative,2,1,,Field scale,,,,,Q1,Q2,Q3,,,,,Not described,,,Cropped fields (arable),"corn, soybean, tobacco, winter wheat",,,,,,,,,,,,,Grasses,"fall panicum, broomsedge",,,,,,,Trees,"sapling wax myrtle, red maple, sapling sweetgum",Other (please specify),"dog fennel, dormant blackberry, giant cane ",,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,
21569084,Marja (2012),The importance of drainage ditches for farmland birds in agricultural landscapes in the Baltic countries: does field type matter?,2012,2010-2014,http://scholar.google.co.uk/scholar?q=The+importance+of+drainage+ditches+for+farmland+birds+in+agricultural+landscapes+in+the+Baltic+count&btnG=&hl=en&as_sdt=0%2C5,Grassy margin,Multiple,"Estonia, Latvia and Lithuania","Estonia, Latvia and Lithuania",multiple,multiple,Observational,,<1,Not stated,,,,,Regional scale,,Q1,Q2,Q3,,,,,Not described,,,Cropped fields (arable),,,,,,,,Grassland,,,,,,Grasses,Grassy margins,,,,,,,,,,,,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,
21569087,Marshall (2009),The impact of landscape structure and sown grass margin strips on weed assemblages in arable crops and their boundaries,2009,2005-2009,http://scholar.google.co.uk/scholar?q=The+impact+of+landscape+structure+and+sown+grass+margin+strips+on+weed+assemblages+in+arable+crops+a&btnG=&hl=en&as_sdt=0%2C5,Grass margin strip,UK,UK,UK,52.831319,-1.770154,Observational,,<1,Not stated,,Field scale,,,Regional scale,,,Q2,Q3,,,Conventional,,,,,Cropped fields (arable),,,,,,,,,,,,,,Grasses,,Wildflowers,,,,,,,,,,,,,Field edge,,,,,,,,,,,,,,,Sown/planted,,,,,,,
21569100,Marshall (2006),"Impacts of field margins, landscape and crop on the distributions of Syrphidae on an arable farm",2006,2005-2009,"http://scholar.google.co.uk/scholar?q=Impacts+of+field+margins,+landscape+and+crop+on+the+distributions+of+Syrphidae+on+an+arable+farm&btnG=&hl=en&as_sdt=0%2C5",Field margin,UK,UK ,"Near Great Barrington, Oxfordshire",51.758613,-1.263911,Observational,,<1,Not stated,,Field scale,,,,,,Q2,Q3,,,,,Not described,,,Cropped fields (arable),including set aside,,,,,,,,,,,,,,,,,,,,,,,,,Not described,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,
21569101,Marshall (2006),Impacts of an agri-environment field margin prescription on the flora and fauna of arable farmland in different landscapes,2006,2005-2009,http://scholar.google.co.uk/scholar?q=Impacts+of+an+agri-environment+field+margin+prescription+on+the+flora+and+fauna+of+arable+farmland+i&btnG=&hl=en&as_sdt=0%2C5,Field margin,UK,UK,UK,52.831319,-1.770154,Observational,,<1,Not stated,,Field scale,,,Regional scale,,,Q2,Q3,,,Conventional,,,,,Cropped fields (arable),,,,,,,,,,,,,,Grasses,,,,,,,,,,,,,,,Field edge,,,,,,,,,,,,,,,Sown/planted,,,,,,,
21569103,Marshall (2002),"Field boundary habitats for wildlife, crop, and environmental protection",2002,2000-2004,"http://scholar.google.co.uk/scholar?q=Field+boundary+habitats+for+wildlife,+crop,+and+environmental+protection&btnG=&hl=en&as_sdt=0%2C5","Hedge, sown grass strip",UK,UK,"WIltshire, UK (Noland's farm and Manor farm)",51.31688,-1.987368,Observational,,Not stated,Not stated,,Field scale,,,,,,,,,Not described,,,Not described,,,Cropped fields (arable),"cerals, oilseed rape",,,,,,,,,,,,,Grasses,Sown grass strip,Wildflowers,Wildflower strip,,,Hedgerow,Hedge ,,,Other (please specify),sterile strip,,,,Field edge,,,,,,,,,Cut,"Coppiced; hedge trimming (cuttings left), annual or alternate years, hedge bottom cut annually (cuttings left) or every 3 years ",,,,,Sown/planted,gapped up (young hedging plants); grass; grass-wildflower,Pesticide,herbicides,,,,
21569104,Marshall (2009),The impact of upland land management on flooding: Results from an improved pasture hillslope,2009,2005-2009,http://scholar.google.co.uk/scholar?q=The+impact+of+upland+land+management+on+flooding:+Results+from+an+improved+pasture+hillslope&btnG=&hl=en&as_sdt=0%2C5,Shelterbelt,UK,UK,"Pontbren (52 38.5 N, 3 25 E)",51.869126,-3.846277,Observational,,3,12,Plot scale,,,,,,Q1,Q2,Q3,Q4,,,,Not described,Livestock,,,,,,,,,,,,,,,,,,,,,,,,Trees,,,,,,Within field,,,,,,,,,,,,,,,,,,,,,,Not described,
21569109,Martinez (2010),Habitat structure versus food abundance: the importance of sparse vegetation for the common redstart Phoenicurus phoenicurus,2010,2010-2014,http://scholar.google.co.uk/scholar?q=Habitat+structure+versus+food+abundance:+the+importance+of+sparse+vegetation+for+the+common+redstart&btnG=&hl=en&as_sdt=0%2C5,Ruderal vegetation strip,Switzerland,Switzerland,Northwest Switzerland,46.740913,6.849554,Observational,,Not stated,Not stated,Plot scale,,,,,,,Q2,Q3,,,,,Not described,,,,,,,,,Fruit (orchard),Orchard,,,,,,,,,,,,,,,,,Other (please specify),Ruderal vegetation strips with sparse vegetation cover,,,,Field edge,,,,,,,Soil disturbed,rotary harrow,,,,,,,,,,,,,,
21569112,Mason (2000),Influence of landscape and land-use on the distribution of breeding birds in farmland in eastern England,2000,2000-2004,http://scholar.google.co.uk/scholar?q=Influence+of+landscape+and+land-use+on+the+distribution+of+breeding+birds+in+farmland+in+eastern+Eng&btnG=&hl=en&as_sdt=0%2C5,"Hedge, field boundary",UK,UK,"Tendring district of north-east Essex, U.K. (51 8 50 N, 1 8 10 E)",51.740076,0.530851,Observational,,3,Not stated,,,,,Regional scale,,,Q2,Q3,,,,,Not described,,,Cropped fields (arable),,,,,,Fruit (orchard),,Grassland,,,,,,,,,,,,Hedgerow,,,,,,,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,
21569117,Maudsley (2002),Spatial distribution patterns of predatory arthropods within an English hedgerow in early winter in relation to habitat variables,2002,2000-2004,http://scholar.google.co.uk/scholar?q=Spatial+distribution+patterns+of+predatory+arthropods+within+an+English+hedgerow+in+early+winter+in+&btnG=&hl=en&as_sdt=0%2C5,Hedgerow,UK,UK,Backwell Farleigh in south-west England (NGR ST 490 694),51.398165,-2.738972,Observational,,<1,Not stated,Plot scale,,,,,,,,,Q4,,,,Not described,,,Cropped fields (arable),winter oilseed rape,,,,,,,,,,,,,,,,,,,Hedgerow,hawthorn-dominant,,,,,,,,Field edge,,,,,,,,,Cut,trimmed,,,,,,,,,,,,
21569125,McAneney (1990),MODIFICATION OF AN ORCHARD CLIMATE WITH INCREASING SHELTER-BELT HEIGHT,1990,1990-1994,http://scholar.google.co.uk/scholar?q=MODIFICATION+OF+AN+ORCHARD+CLIMATE+WITH+INCREASING+SHELTER-BELT+HEIGHT&btnG=&hl=en&as_sdt=0%2C5,Shelterbelt,New Zealand,New Zealand,"Kerikeri Horticultural Research Station 35 16 S, 173 55 E) located in the Bay of Islands near the extreme north of New Zealand",-35.266323,173.917657,Observational,,6,6,,Field scale,,,,,,,,,Not described,,,Not described,,,,,,,,,Fruit (orchard),,,,,,,,,,,,,,,,Trees,"""The main shelter species employed are Japanese cedar (Cryptomeriajaponica), She-oak (Casurina glauca and cunninghamiana), bamboo (Bamboo oldhami) and several gum species, predominantly Eucalyptus saligna""",,,,,,Field edge,,,,,,,,,,,,,,,Sown/planted,,,,Managed (other),Wind reducing mesh to enhance shelterbelt growth,,
21569127,McCollum (2004),Landscape and local influences on the biotic integrity of fish communities in Ohio headwater streams,2004,2000-2004,http://scholar.google.co.uk/scholar?q=Landscape+and+local+influences+on+the+biotic+integrity+of+fish+communities+in+Ohio+headwater+streams&btnG=&hl=en&as_sdt=0%2C5,Buffer,USA,"Ohio, USA",Ohio Brush Creek,38.886069,-83.538635,Observational,,2,Not stated,,,,Catchment scale,,,,,,,Not described,,,Not described,,,Cropped fields (arable),,,,,,,,,,,,,,,,,,,,,,,,,,Not described,,,,Riparian,,,,,,,,,,,,,,,,,,,,Not described,
21569128,McCracken (2012),Improving the Farmland Biodiversity Value of Riparian Buffer Strips: Conflicts and Compromises,2012,2010-2014,http://scholar.google.co.uk/scholar?q=Improving+the+Farmland+Biodiversity+Value+of+Riparian+Buffer+Strips:+Conflicts+and+Compromises&btnG=&hl=en&as_sdt=0%2C5,Riparian buffer strip,UK,UK,"Cessnock Catchment, Ayrshire, Scotland (55 32 38 N, 4 21 55 W)",55.364832,-4.667893,,Manipulative,4,Not stated,,Field scale,,,,,,Q2,Q3,,,Conventional,,,Livestock,,,,,,,,,,Grassland,,,,,,,,,,,,,,,,,,Not described,,,,Riparian,,,,,,,,,,,,,,,,,,,,Not described,
21569129,McDowell (2006),Effects of shelter belts on fence-line pacing of deer and associated impacts on water and soil quality,2006,2005-2009,http://scholar.google.co.uk/scholar?q=Effects+of+shelter+belts+on+fence-line+pacing+of+deer+and+associated+impacts+on+water+and+soil+quali&btnG=&hl=en&as_sdt=0%2C5,Shelter belt,New Zealand,New Zealand,"Mossburn, Northern Southland",-45.532723,167.991569,Observational,,Not stated,Not stated,,Field scale,,,,,,,,,Not described,Conventional,,,Livestock,,,,,,,,,,,,,,,,,,,,,,,,Trees,"""Trees in the shelter were commonly 30–50 years old macrocarpa planted at about a 1 m spacing ( Cupressus macrocarpa sp.), but in two cases the singular shelter belt consisted of either <5-year-old poplars ( Populus spp.) or scrub dominated by gorse ( Ulex europaeus )""",,,,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,
21569135,McMahon (2005),Farmland birds and the field boundary evaluation and grading system in Ireland,2005,2005-2009,http://scholar.google.co.uk/scholar?q=Farmland+birds+and+the+field+boundary+evaluation+and+grading+system+in+Ireland&btnG=&hl=en&as_sdt=0%2C5,"Field boundary, hedgerow",Ireland,Ireland,9 farms in Ireland,53.41264,-8.246522,Observational,,2,Not stated,,,Farm scale,,Regional scale,,Q1,Q2,Q3,Q4,,,,Not described,Livestock,,Cropped fields (arable),,,,,,,,,,,,,,,,,,,,Hedgerow,,,,,,,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,
21569144,Mendez (1999),Sediment and nitrogen transport in grass filter strips,1999,1995-1999,http://scholar.google.co.uk/scholar?q=Sediment+and+nitrogen+transport+in+grass+filter+strips&btnG=&hl=en&as_sdt=0%2C5,Grass filter strip,USA,"Virginia, USA","Virginia Tech Prices Fork Research Farm, 10 km west of Blacks- burg, Virginia",37.215411,-80.432379,,Manipulative,2,2,Plot scale,,,,,,Q1,Q2,Q3,Q4,,,,Not described,,,Cropped fields (arable),Corn,,,,,,,,,,,,,Grasses,Kentucky 31 tall fescue,,,,,,,,,,,,,,,,Not described,,,,,,,,,,,,,Sown/planted,,,,,,,
21569146,Mengis (1999),Multiple geochemical and isotopic approaches for assessing ground water NO3- elimination in a riparian zone,1999,1995-1999,http://scholar.google.co.uk/scholar?q=Multiple+geochemical+and+isotopic+approaches+for+assessing+ground+water+NO3-+elimination+in+a+ripari&btnG=&hl=en&as_sdt=0%2C5,Riparian zone,Canada,"Ontario, Canada","Strawberry creek watershed, 10km north of Waterloo",43.468885,-80.532615,Observational,,1,Not stated,,,,Catchment scale,,,,,,,Not described,Conventional,,,,,Cropped fields (arable),winter wheat and corn,,,,,,,,,,,,,Grasses,,,,,,,,Trees,Small scattered Manitoba (Acer negundo)trees,,,,,,,Riparian,,,,,,,,,,,,,,,,,,,,Not described,
